#  Parameters: 
#  beta0=-6.000000e+00 
#  sp=1.000000e+36 
#  sM=1.000000e+04 
#  psur=1.000000e+30 
#  rhocen=1.000000e+02 
#  mtb=1.660000e-27 
#  nt0=1.000000e+44 
#  Gamma=2.340000e+00 
#  kns=1.950000e-02 
#  Columns: 
#  mA/solar_mass, alpha0, alphaA_true, alphaA_check, betaA, kA.
0, 0, 1e-20, 1e-20, 0, 0 
1.667332771101248889e+00, -1.016427891647814459e-05, -3.628280024600517850e-02, 4.529536322081908111e+02, -6.633756430349784239e-01, 1.297950930795779527e+02
1.673123285892326173e+00, -1.016500632022625874e-05, -3.657346964504935155e-02, 4.056652015775399036e+02, -5.949865785641536009e-01, 1.178821897978601356e+02
1.678913800683403901e+00, -1.016573372397437458e-05, -3.686413904409351766e-02, 3.587028840316579021e+02, -5.265975140933281118e-01, 1.060262347624243660e+02
1.684704315474481628e+00, -1.016646112772249042e-05, -3.715480844313769071e-02, 3.120633177248207630e+02, -4.582084496225019565e-01, 9.422682116698778998e+01
1.690493285920201760e+00, -1.016754385507564513e-05, -3.709460582082796387e-02, 2.652023985867191413e+02, -3.898193851516764674e-01, 8.234587654419780733e+01
1.696280776191796402e+00, -1.016896714149094844e-05, -3.669811074613595070e-02, 2.181447870662987043e+02, -3.214303206808509783e-01, 7.038968849981591802e+01
1.702068266463391044e+00, -1.017039042790625343e-05, -3.630161567144393753e-02, 1.714072815029548451e+02, -2.530412562100247675e-01, 5.849011456902015027e+01
1.707855756734985464e+00, -1.017181371432155673e-05, -3.590512059675192436e-02, 1.249866267155300079e+02, -1.846521917391992784e-01, 4.664675366352885533e+01
1.713643247006579662e+00, -1.017323700073686173e-05, -3.550862552205992506e-02, 7.887961152100456275e+01, -1.162631272683758432e-01, 3.485920856991499761e+01
1.719430737278174304e+00, -1.017466028715216842e-05, -3.511213044736791189e-02, 3.308306797509686703e+01, -4.787406279755034716e-02, 2.312708573624627206e+01
1.725218227549768724e+00, -1.017608357356747172e-05, -3.471563537267589872e-02, -1.240612934009163837e+01, 2.051500167327445501e-02, 1.144999474978094156e+01
1.731005717821363366e+00, -1.017750685998277672e-05, -3.431914029798388555e-02, -5.759106404589442718e+01, 8.890406614410133190e-02, -1.724502001167280696e-01
1.736793208092958007e+00, -1.017893014639808171e-05, -3.392264522329187237e-02, -1.024747786218624697e+02, 1.572931306149261410e-01, -1.174063236187740245e+01
1.742580698364552649e+00, -1.018035343281338502e-05, -3.352615014859986614e-02, -1.470602751496221856e+02, 2.256821950857523240e-01, -2.325493036920696710e+01
1.748368555209265374e+00, -1.018197660671411753e-05, -3.321305869590000792e-02, -1.807446450691826385e+02, 2.774700064373357145e-01, -3.192690815643973679e+01
1.754157109178611673e+00, -1.018397991348034784e-05, -3.305857876283808949e-02, -1.941036813238357013e+02, 2.976866471102147527e-01, -3.526739696134833224e+01
1.759945663147957529e+00, -1.018598322024657815e-05, -3.290409882977617106e-02, -2.073748033453296387e+02, 3.179032877830924031e-01, -3.859243602445005195e+01
1.765734217099125480e+00, -1.018802098974027326e-05, -3.274962936507597178e-02, -2.205593968769304638e+02, 3.381178447584227142e-01, -4.189425887174478191e+01
1.771522770935379354e+00, -1.019027662312420815e-05, -3.259522607848105297e-02, -2.336610727236836453e+02, 3.583192291706133181e-01, -4.513122492120930929e+01
1.777311324771632783e+00, -1.019253225650814305e-05, -3.244082279188614110e-02, -2.466773707991207516e+02, 3.785206135828039220e-01, -4.835332283509769979e+01
1.783099878529638360e+00, -1.019493227123914055e-05, -3.228646313046424493e-02, -2.596113427409387100e+02, 3.987133145287082847e-01, -5.152699846306828135e+01
1.788888432210544055e+00, -1.019747454812694375e-05, -3.213214645389692037e-02, -2.724637555934211832e+02, 4.188974594618881109e-01, -5.465307658312934791e+01
1.794676985836799687e+00, -1.020011499271421409e-05, -3.197785927234245845e-02, -2.852347661166522812e+02, 4.390757334968675707e-01, -5.774149534214006962e+01
1.800465539337862353e+00, -1.020298031875223762e-05, -3.182363965762842473e-02, -2.979271416612280063e+02, 4.592405585449373939e-01, -6.076237722391067564e+01
1.806254092748307505e+00, -1.020600415007391909e-05, -3.166946738267281680e-02, -3.105406702857941923e+02, 4.793959607490888564e-01, -6.373091943363553469e+01
1.812043460896859193e+00, -1.020993684551155454e-05, -3.170086285088676709e-02, -3.130700589318772700e+02, 4.842944367951287910e-01, -6.403376132612510219e+01
1.817832595329870848e+00, -1.021515005690279919e-05, -3.168472238345430847e-02, -2.827464991250686239e+02, 4.365417199850386010e-01, -6.826410666917279002e+01
1.823621722984859250e+00, -1.022066037825429145e-05, -3.166815764814460976e-02, -2.528004989583117208e+02, 3.888857427085490870e-01, -7.496482832537842000e+01
1.829410850480880146e+00, -1.022647208217499743e-05, -3.165168446048595430e-02, -2.230440401617808561e+02, 3.412297654320609608e-01, -8.163459630795622957e+01
1.835199977775714641e+00, -1.023265501078135523e-05, -3.163532343926341028e-02, -1.934753429784095715e+02, 2.935737881555680051e-01, -8.827341118592616453e+01
1.840989104895939921e+00, -1.023915694025674439e-05, -3.161905860647479249e-02, -1.640926279205701803e+02, 2.459178108790792128e-01, -9.488161141567867674e+01
1.846778231721579733e+00, -1.024618802948563441e-05, -3.160295276257788638e-02, -1.348941847763672683e+02, 1.982618336025873118e-01, -1.014588138185214916e+02
1.852567358159640687e+00, -1.025389705496625865e-05, -3.158704939356161978e-02, -1.058783160793392426e+02, 1.506058563260981586e-01, -1.080047698174438580e+02
